date,ID,Historias de Usuario,project_id,Criterios de Aceptación,Check,Prioridad,Existe,Observaciones Técnicas,Nivel de Dificultad,Estimación (min)
2014-02-07,2,Yo como 2 requiero activar/desactivar un proveedor para poder incorporarlo/desincorporarlo dentro de los proveedores disponibles para realizar compras,162,"1. Tener la opción de activar/descativar un proveedor
2. Consultar el histórico de transacciones de un proveedor que este inactivo",OK,1,YES,"-a) Documentacion de Ficha res.partner (300 min)
a) Documentación de proceso en Openerp (45 min)
b) Revisión funcional y entrega a usuario (30min)",BAJA,375
,3,Yo como 1 deseo un usuario con privilegios de Product Manager y Partner Manager para evitar que cualquier usuario pueda modificar las fichas de proveedores y productos ,162,"1. Hacer pruebas de modificación de productos y partners (proveedores) con un usuario con privilegios para hacerlo.
2. Hacer las mismas pruebas de modificación de productos y partners (proveedores) del criterio anterior con un usuario sin privilegios y que el sistema no le permita dicha opción",OK,1,YES,"-b) Generar ir.model.access/ir.rules? para objecto product.product C[si]R[si]U[si]D[si]
-b) Generar ir.model.access/ir.rules? para objecto product.product C[no]R[si]U[no]D[no]
-b) Generar ir.model.access/ir.rules? para objecto res.partner C[si]R[si]U[si]D[si]
-b) Generar ir.model.access/ir.rules? para objecto res.partner C[no]R[si]U[no]D[no]
-c) Hacer prueba yaml para comprobar los permisos de los usuarios.
a) DocumentaciOn de proceso en Openerp de cOmo configurar un usuario con privilegios para modificaciOn de Productos (45 min)
b) DocumentaciOn de proceso en Openerp de cOmo configurar un usuario sin privilegios para modificaciOn de Productos (45 min)
c) DocumentaciOn de proceso en Openerp de cOmo configurar un usuario con privilegios para modificaciOn de Partners (45 min)
d) DocumentaciOn de proceso en Openerp de cOmo configurar un usuario sin privilegios para modificaciOn de Partners (45 min)
e) Revisión funcional y entrega a usuario (60min)
NOTA: queda pendiente discutir si será la creación de ir rule o access rule
http://goo.gl/MkumcL",BAJA,240
2014-02-07,4,"Yo como 1 requiero ver las requisiciones de compra por orden de prioridad, para hacer una evaluación de prioridades",162,"1. Dado una requisición de compra, el usuario debe poder colocar la prioridad de su requerimiento: emergencia, urgencia, normal
2. Dado una lista de las requesiciones con prioridades, el analista de compras debe poder re-priorizar las requisiones de acuerdo a los criterios propios
3. Dada la lista de requesiciones de compra, se debe poder filtrar por el campo de prioridad",OK,2,NO,"a) Agregar campo selection priority  [(05,'emergency'),(10,'urgent'),(15,'normal')] al modelo purchase requisition (30 min)
b) Agregar campo selection priority a la vista _form_ del modelo purchase requisition (30 min)
c) Agregar campo selection priority a la vista _tree_ del modelo purchase requisition (30 min)
d) Agregar parAmetro _order = 'priority asc' en modelo purchase.requisition (30 min)
e) Agregar Filtro segUn priority en vista _search_ del modelo purchase requisition (30 min)
f) Agregar Agrupacion por priority en vista _search_ del modelo purchase requisition (30 min)
g) Agregar el campo priority como campo buscable en la vista _search_ hacerlo como en http://goo.gl/STTFcx para obtener goo.gl/ph1YzT (30 min)
h) Revisión funcional y entrega a usuario (60min)
i) Documentar el formulario de purchase.requisition (300 min)
j) Documentar la búsqueda por campo prioridad (30 min)",MEDIA,600
2014-02-07,5,Yo como 2 requiero que la persona que hace una requisisión pueda colocar en la requisición de compra la descripción exacta del producto que requiere,162,"1. Dada la requisición de compra, se debe poder escribir la descripción del producto en un campo junto a la selección de la categoría de dicho producto. Categoría = Tubos. Descripción = detalle específico del requisitor ",OK,1,NO,"a) Agregar campo description tipo texto en modelo purchase.requisition.line (30 min)
b) Agregar campo description en vista _form_ xpath/line_ids/product_id after http://goo.gl/4ySMwN (30 min)
c) Agregar super a mEtodo make_purchase_order http://goo.gl/6jbWm0 de modelo purchase.requisition para poder trasladar campo description de purchase.requisition.line al campo name del modelo purchase.order.line (60 min)
d) Revisión funcional y entrega a usuario (60min) [explicar también proceso P1]
e) Documentación del campo description en la ficha del modelo purchase.requisition (30 min)",BAJA,210
2014-02-07,6,Yo como 2 requiero que el requisitor pueda colocar el centro de costo en cada renglón o línea de la requisición de compra,162,"1. Dado el proceso de creación de una requisición, se debe asignar por cada línea de la requisición el centro de costo al que se va imputar la compra",,3,NO,"Crear una columna en la ficha de requisición con la ""Distribución"" analítica. Por cada departamento de CICSA existe una cuenta analítica y esa se desglosa en los diferentes proyectos asignados. Luego se genera una distribución con el nombre del departamento. En dicha distribución se estipulan los porcentajes a prorratear de los proyectos. Ver imagen adjunta (39-HU1, 39-HU2, 39-HU3, todas de finanzas)
a) Agregar campo analytics_id m2o (account.analytic.plan.instance) al modelo purchase.requisition.line (30 min)
b) Agregar campo analytics_id en vista _form_ xpath/line_ids/product_id after required in view (30 min)
c) Agregar super a mEtodo make_purchase_order de modelo purchase.requisition para poder trasladar campo analytics_id de purchase.requisition.line al campo analytics_id del modelo purchase.order.line (60 min)
d) Revisión funcional y entrega a usuario (60min)
e) Documentación del campo Distribución Analítica en la ficha de Purchase.Requisition (30 min)",MEDIA,210
2014-02-07,7,"Yo como 1 requiero que las notificaciones de las requisiciones (y sus correcciones sucesivas), las aprobaciones y ordenes de procesamiento queden registradas en el sistema",162,"1. Se escribe las correcciones u observaciones en el cuadro de mensaje del documeto Requisición de Compra y se evidencia que queda registro de la persona que escribió, la fecha y hora.
2. Se comprueba que llega un correo electrónico a los seguidores del documento Requisición de Compras, inmediatamente después de haberse escrito el mensaje del punto anterior.",,,YES,"1.- Sobre-escribir método write del módelo purchase.requisition. usando esta aproximación http://goo.gl/vKwPXo (60m)
2.- Evaluar el tipo de campos que vienen el diccionario, si no es relacional se busca el valor anterior y se muestra la disferencias en el mensaje. Si el campo es o2m o m2m, evalua el 1er elemento de la lista para determinar la acción que se está realizando. (70m)
Note: No es necesario sobre-escribir en las lineas porque con el padre puedo saber si se modificaron o no. 
3. - Dcoumentación, Revisión funcional y entrega a usuario (150min) [Revisar y explicar procesos P2 y P3]",BAJA,280
2014-02-07,8,Yo como 1 requiero que los usuarios de niveles de aprobación superiores al usuario que llena la requisición de compra sean seguidores de dicho documento,162,"1.- Dado que un usuario A llena una requisición de compras, se debe agregar automáticamente como seguidor del documento los usuarios con nível de aprobación superior a ""A"" cuando se salve el documento.
2.- Dados unos niveles de aprobación desde la Purchase Requesition se deben poder agregar estos niveles para que no se pueda avanzar con la misma hasta que este aprobada por los entes asociados.",,,NO,"a) Agregar al modelo 'hr.job' el campo 'auth_level' selection ('L1', 'L2', 'PM', 'CM', 'BOD').
b) Agregar data a 'hr.job' on lo contenido en el BOF/Attachment 1 ""LIST OF OFFICER"".
c) Agregar al modelo 'hr.employee' el campo 'level_ids' tipo m2m(hr.job) con domain =[(auth_level=True)].
d) Agregar nuevo modelo 'approval.line'.
e) Agregar al modelo 'approval.line' el campo 'type' tipo selection([L1,L2,PM,MC,BOD]).
f) Agregar al modelo 'approval.line' el campo 'amount' tipo float().
g) Agregar nuevo modelo 'schedule.power'.
h) Agregar al modelo 'schedule.power' campo 'name' tipo char tipo char.
i) Agregar al modelo 'schedule.power' campo 'line_ids' tipo o2m(approval.line).
j) Agregar al modelo 'schedule.power' campo 'state' tipo selection('draft',etc.)
k) Agregar al modelo 'schedule.power' campo 'model' typo reference(ir.model).
l) Agregar data conveniente de requisition al modelo 'schedule.power' de la tabla BOD/SCHEDULE OF POWERS. Esto data debe ir en un nuevo modulo aparte de data de inicialización.
m) Agregar nuevo modelo 'schedule.power.line'.
n) Agregar al modelo 'schedule.power.line' el campo 'requisition_id' tipo m2o(purchase.requisition).
o) Agregar al modelo 'schedule.power.line' el campo 'type' tipo selection([L1,L2,PM,MC,BOD]).
p) Agregar al modelo 'schedule.power.line' el campo 'employee_id' tipo m2o.(hr.employee).
q) Agregar al modelo 'schedule.power.line' el campo 'approved' tipo bool().
r) Agregar al modelo 'schedule.power.line' el campo 'state/stage' (VAGO).
s) Agregar al modelo 'purchase.requisition' campo 'requisitor_employee_id' tipo m2o(hr.employee).
t) Agregar al modelo 'purchase.requisition' campo 'requisitor_department_id' tipo m2o(hr.department).
u) Agregar al modelo 'purchase.requisition' campo 'state' tipo selection('draft',etc).
v) Agregar al modelo 'purchase.requisition' campo 'power_ids' tipo o2m(schedule.power.line).
w) agregar al modelo ''schedule.power.line"" el campo 'departmetn_id', tipo m2o(hr.department).
x) agregar al modelo ''schedule.power.line"" el campo 'max_amount' tipo float().
-------
EJEMPLO
-------

_model='purchase.requisition'
_column = {
*amount*
requisitor_employee_id:m2o(hr.employee)
requisitor_department_id:m2o(hr.department)
state:selection('draft',etc)
power_ids : o2m(schedule.power.line)
}

_model='schedule.power'
_columns = {
'name'
'line_ids':o2m(approval.line)
'state':selection('draft',etc.)
'model':reference()
}

_model=''approval.line""
_columns = {
'type':selection([L1,L2,PM,MC,BOD])
'amount':float()
}

_inherit='hr.employee'
_columns={
level_ids: m2m(hr.job) domain =[(auth_level=True)]
}

_name = 'hr.job'
_column = {
'auth_level' :selection([L1,L2,PM,MC,BOD])
*'department_id': m2o('hr.deparment')*
}

_model=''schedule.power.line""
_columns = {
'requisition_id':m2o(purchase.requisition)
'type':selection([L1,L2,PM,MC,BOD])
'employee_id': m2o(hr.employee)
'approved':bool()
state/stage
}

",ALTA,240
2014-02-07,9,Yo como gerente de compras requiero que se pueda asignar a una requisición un analista de compras para consultar cuales casos está manejando cada analista,162,"1. Dada el formulario de la requisición, debe haber un campo para asignar a un usuario (analista de compra) del sistema
2. Dada la lista de requisiciones, debe habe un filtro para agrupar por analista de compra todas las requisiciones",OK,2,NO,"a) Agregar campo purchaser_id (res.users) m2o al modelo purchase.requisition (30 min)
b) Agregar campo purchaser_id a la vista _form_ xpath /field[@name='user_id'] position=after (30 min)
c) Agregar campo purchaser_id a la vista _tree_ xpath /field[@name='user_id'] position=after (30 min)
d) Agregar Agrupación para campo purchaser_id en vista _search_ (30 min)
e) Agregar ACL para que user_id solo pueda ver purchase.requisition donde ['|', '|', ('user_id', '=', uid), ('purchaser_id', '=',uid), ('purchaser_id', '=', False) ], esto es, que un usuario pueda ver las purchase.requisition que ha creado, las purchase.requisition que le han sido asignadas, o las purchase.requisition que no tienen asignación (30 min)
f) Revisión funcional y entrega a usuario (30min)
g) Documentacion campo purchase_id en formulario de purchase.requisition y seguridad del mismo (30 min)",BAJA,210
2014-02-07,11,"Yo como 2 requiero que no se permita aceptar un producto/servicio en caso de que la duración del contrato con el proveedor haya expirado, para así evitar que se carguen y/O paguen facturas a proveedor fuera de contrato",162,"1. Dado que la fecha de recepción del producto/servicio está fuera del rango de fecha del contrato, el sistema debe bloquear la recepción con un mensaje de alerta.
2. Dado que no ha habido recepción de producto/servicio no se puede cargar la factura de proveedor",OK,1,NO,"a) Agregar campo date_contract_expiry tipo date que se llame ""Expiración de Contrato"" al modelo purchase.order (30 min)
b) Agregar campo date_contract_expiry a la vista _form_ de purchase.order (30 min)
c) Agregar campo date_contract_expiry tipo date que se llame ""Expiración de Contrato"" al modelo stock.picking (30 min)
d) Agregar super a método _create_pickings() del modelo purchase.order para trasladar el campo date_contract_expiry al modelo stock.picking (60 min)
e) Agregar super a método action_process() del modelo stock.picking para validar que la fecha de recepción (today) no es mayor que la fecha de Expiración de Contrato, si la fecha es mayor se eleva una advertencia y se sale del processo, en caso contrario se llama al metodo original (60 min) 
f) Agregar un workaround al metodo action_process() del modelo stock.picking para que se pueda validar sin importar si la fecha de Expiración de Contrato se ha superado. (30 min)
g) Agregar super a metodo copy() para tomar del id original el campo date_contract_expiry y escribirlo en el elemento nuevo stock.picking (30 min)
h) Agregar super a metodo open_invoice() del modelo stock.invoice.onshipping para que compare la fecha date_contract_expiry de los elementos que van en el context('active_ids') si algún elemento tiene una fecha anterior a la fecha de hoy (today) cuando la fecha no esté vacía, entonces eleve una excepción. (45 min)
i) Agretar un workaround a g) para poder generar facturas a partir de picking sin importar que la fecha de Expiración de Contrato se ha superado. (45 min)
j) Agregar boton para workaround h) en la vista del modelo stock.picking (30 min)
k) Agregar boton para workaround i) en la vista del modelo stock.invoice.onshipping (30 min)
l) Revisión funcional y entrega a usuario (60min)
m) agregar a vista __search__ el campo date_contract_expiry para que sea buscable
n) Documentacion de proceso de Validación de Fecha de Expiración de Contrato. (180 min)
o) Validar que metodo open_invoice() del modelo stock.invoice.onshipping no permita generar facturas si stock.picking.state!=done (45 min)",ALTA,705
2014-02-07,12,"Yo como 2 requiero tener reportes de duración, de aprobación, de requisición y orden de compra",162,"1. Se emite un reporte con la lista de requesiciones y una columna que contenga el total de días desde que se creo la requisición de compra hasta que se aprobo la requisición.
2. Se emite un reporte con la lista de ordenes de compra con una columna que indique el total de días desde que se aprobo la requisición hasta que se aprobo (se emitió) la orden de compra",OK,1,NO,"a) Workflow de requisición: ( draft ) --trans--> ( budget approval ) --trans--> ( bdp approval ) --trans--> ( approved ) --trans--> ( assigned ) --trans--> ( sent2bidders ) --trans--> ( awarded ) ,  ( bdp approval ) / ( budget approval ) / ( approved ) / ( assigned ) / ( sent2bidder ) --trans--> (cancel) --trans--> (draft) (720 min)
b) campos fecha para cambios entre transiciones y traslados a modelo purchase.order 12x30min (360 min)
c) campos de usuarios que hicieron transiciones en el modelo purchase requisition y log correspondiente 12 x 30 min (360 min)
http://www.mindmeister.com/383760669
d) Revisión funcional y entrega a usuario (60min)
e) Documentación del Workflow de purchase.requisition y uso del reporte (180 min)",,1680
